,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
1.259272411616161e+00,-1.463050818855727e+01,-1.049654668221542e+01,-1.828234355090021e+01,-1.080014364335359e+01,-1.015549329188263e+01,-2.269125434893138e+01
1.259469696969697e+00,-1.463099719017201e+01,-1.049928416545339e+01,-1.828291510967788e+01,-1.080296030421229e+01,-1.015814182892071e+01,-2.269192558010142e+01
1.262626262626263e+00,-1.463882639248718e+01,-1.054311287574545e+01,-1.829206610053469e+01,-1.084805669459555e+01,-1.020054645844683e+01,-2.270267238434951e+01
1.313131313131313e+00,-1.476539642399390e+01,-1.125166542289523e+01,-1.844000469688695e+01,-1.157710306763245e+01,-1.088607674353743e+01,-2.287640954140837e+01
1.338383838383838e+00,-1.482957848391032e+01,-1.161096344545031e+01,-1.851502248539503e+01,-1.194679324973229e+01,-1.123370046858856e+01,-2.296450945330156e+01
1.351010101010101e+00,-1.486188763579477e+01,-1.179183352655446e+01,-1.855278632666312e+01,-1.213289472823279e+01,-1.140869372598697e+01,-2.300885881569458e+01
1.357323232323232e+00,-1.487809599775194e+01,-1.188256966695957e+01,-1.857173111389725e+01,-1.222625527620035e+01,-1.149648167121440e+01,-2.303110732660586e+01
1.358112373737374e+00,-1.488012454885906e+01,-1.189392571259583e+01,-1.857410214122374e+01,-1.223793977852338e+01,-1.150746873665344e+01,-2.303389183015780e+01
1.358211016414141e+00,-1.487421052449870e+01,-1.189534543700199e+01,-1.857439856530223e+01,-1.223940056634100e+01,-1.150884233142889e+01,-2.303423994672746e+01
1.358309659090909e+00,-1.487598582460084e+01,-1.189676520999372e+01,-1.857469499952490e+01,-1.224086140414946e+01,-1.151021597321128e+01,-2.303458807521029e+01
1.358506944444444e+00,-1.487953662083494e+01,-1.189960490171610e+01,-1.857528789839905e+01,-1.224378322972058e+01,-1.151296339777965e+01,-2.303528436791118e+01
1.358901515151515e+00,-1.488663897730465e+01,-1.190528486799244e+01,-1.857647381783669e+01,-1.224962748055193e+01,-1.151845881081060e+01,-2.303667709622330e+01
