r,n_opt,F_min,partial_F_r,eefactor
8.244122,0.915789,15.123909,0.888072,0.450111
8.260130,0.916335,15.138131,0.890516,0.450716
8.276138,0.916882,15.152409,0.892966,0.451320
8.292146,0.916635,15.166738,0.896980,0.452314
8.308154,0.917182,15.181104,0.899444,0.452917
8.324162,0.917729,15.195528,0.901912,0.453520
8.340170,0.917484,15.209999,0.905967,0.454513
8.356178,0.918031,15.224511,0.908451,0.455114
8.372186,0.918579,15.239081,0.910939,0.455714
8.388194,0.918335,15.253696,0.915036,0.456706
8.404202,0.918883,15.268355,0.917539,0.457305
8.420210,0.919431,15.283072,0.920046,0.457903
8.436218,0.919189,15.297833,0.924185,0.458895
8.452226,0.919737,15.312639,0.926708,0.459491
8.468234,0.920285,15.327504,0.929236,0.460087
8.484242,0.920045,15.342412,0.933418,0.461077
8.500250,0.920594,15.357367,0.935961,0.461672
8.516258,0.921142,15.372380,0.938508,0.462266
8.532266,0.920904,15.387437,0.942734,0.463255
8.548274,0.921453,15.402542,0.945297,0.463848
8.564282,0.922002,15.417705,0.947865,0.464440
8.580290,0.921765,15.432912,0.952134,0.465427
8.596298,0.922314,15.448167,0.954718,0.466018
8.612306,0.922864,15.463481,0.957306,0.466608
8.628314,0.922628,15.478840,0.961620,0.467594
8.644322,0.923178,15.494246,0.964224,0.468183
8.660330,0.923728,15.509712,0.966834,0.468771
8.676338,0.923494,15.525224,0.971192,0.469756
8.692346,0.924044,15.540783,0.973818,0.470343
8.708354,0.924594,15.556402,0.976448,0.470928
8.724362,0.924362,15.572069,0.980852,0.471913
8.740370,0.924913,15.587782,0.983499,0.472497
8.756378,0.925463,15.603554,0.986151,0.473081
8.772386,0.925233,15.619377,0.990601,0.474064
8.788394,0.925784,15.635245,0.993269,0.474646
8.804402,0.926335,15.651172,0.995942,0.475228
8.820410,0.926106,15.667153,1.000439,0.476210
